sent_text,argument,label
"He feels they do n't appreciate Patrick , who was not really likeable because he drank rather too much and insulted people and all sorts of things .","Patrick , who was not really likeable because he drank rather too much",agent
"He feels they do n't appreciate Patrick , who was not really likeable because he drank rather too much and insulted people and all sorts of things .",people,experiencer
Nor was he ready yet publicly to insult his queen .,he,agent
Nor was he ready yet publicly to insult his queen .,his queen,experiencer
Nor was he ready yet publicly to insult his queen .,publicly,manner
"` You 'll insult me once too often , Khan . """,You,agent
"` You 'll insult me once too often , Khan . """,me,experiencer
"` You 'll insult me once too often , Khan . """,once too often,particular_iteration
"Let them know that you have n't prepared , and you insult them even further .",you,agent
"Let them know that you have n't prepared , and you insult them even further .",them,experiencer
"Let them know that you have n't prepared , and you insult them even further .",even further,degree
"Never before has he dared to question the sensornet or insult another officer so openly . """,he,agent
"Never before has he dared to question the sensornet or insult another officer so openly . """,another officer,experiencer
"Never before has he dared to question the sensornet or insult another officer so openly . """,so openly,manner
"Never before has he dared to question the sensornet or insult another officer so openly . """,Never before,particular_iteration
You insult my intelligence with your crude methods !,You,agent
You insult my intelligence with your crude methods !,my intelligence,experiencer
You insult my intelligence with your crude methods !,with your crude methods,instrument
“ No one insults my family and gets away with it . ”,No one,agent
“ No one insults my family and gets away with it . ”,my family,experiencer
They would insult each other without mercy but with great humour .,They,agent
They would insult each other without mercy but with great humour .,each other,experiencer
They would insult each other without mercy but with great humour .,without mercy but with great humour,depictive
"Gratitude that the Scottish Football Association and Scottish Rugby Union have apparently stopped insulting us with Scotland the Brave is not reason enough to allow them to inflict ` the people 's choice "" upon us .",with Scotland the Brave,instrument
"Gratitude that the Scottish Football Association and Scottish Rugby Union have apparently stopped insulting us with Scotland the Brave is not reason enough to allow them to inflict ` the people 's choice "" upon us .",us,experiencer
"Gratitude that the Scottish Football Association and Scottish Rugby Union have apparently stopped insulting us with Scotland the Brave is not reason enough to allow them to inflict ` the people 's choice "" upon us .",the Scottish Football Association and Scottish Rugby Union,agent
"Earlier , he was accused of insulting the Africans by holding his nose because he could not stand the smell .",he,agent
"Earlier , he was accused of insulting the Africans by holding his nose because he could not stand the smell .",the Africans,experiencer
"Earlier , he was accused of insulting the Africans by holding his nose because he could not stand the smell .",by holding his nose because he could not stand the smell,event
"If you are insulted because of the name of Christ , you are blessed , because the Spirit of glory and of God rests on you .",you,experiencer
"If you are insulted because of the name of Christ , you are blessed , because the Spirit of glory and of God rests on you .",because of the name of Christ,explanation
But for a long time all the local shop-boys had insulted him because he wore the uniform of a charity-boy .,for a long time,particular_iteration
But for a long time all the local shop-boys had insulted him because he wore the uniform of a charity-boy .,all the local shop-boys,agent
But for a long time all the local shop-boys had insulted him because he wore the uniform of a charity-boy .,him,experiencer
But for a long time all the local shop-boys had insulted him because he wore the uniform of a charity-boy .,because he wore the uniform of a charity-boy,explanation
"` So do n't insult me , my friend . """,me,experiencer
I insulted him at the time .,I,agent
I insulted him at the time .,him,experiencer
I insulted him at the time .,at the time,time
And then he insulted Jean .,then,time
And then he insulted Jean .,he,agent
And then he insulted Jean .,Jean,experiencer
"In 1963 , having perhaps insulted one Prime Minister too many in the run-up to a general election , TW3 was taken off the air , although it was stoutly defended by Hugh Greene .",In 1963,time
"In 1963 , having perhaps insulted one Prime Minister too many in the run-up to a general election , TW3 was taken off the air , although it was stoutly defended by Hugh Greene .",one Prime Minister too many,experiencer
"In 1963 , having perhaps insulted one Prime Minister too many in the run-up to a general election , TW3 was taken off the air , although it was stoutly defended by Hugh Greene .",TW3,agent
"In 1963 , having perhaps insulted one Prime Minister too many in the run-up to a general election , TW3 was taken off the air , although it was stoutly defended by Hugh Greene .",in the run-up to a general election,containing_event
"I 'd be insulted if my colleagues had n't noticed . """,I,experiencer
"I 'd be insulted if my colleagues had n't noticed . """,if my colleagues had n't noticed,explanation
"Tawell 's counsel , Fitzroy Kelly , had already insulted the jury 's intelligence by suggesting that prussic acid found in Sara 's body was due to eating too many apples .","Tawell 's counsel , Fitzroy Kelly",agent
"Tawell 's counsel , Fitzroy Kelly , had already insulted the jury 's intelligence by suggesting that prussic acid found in Sara 's body was due to eating too many apples .",already,time
"Tawell 's counsel , Fitzroy Kelly , had already insulted the jury 's intelligence by suggesting that prussic acid found in Sara 's body was due to eating too many apples .",the jury 's intelligence,experiencer
"Tawell 's counsel , Fitzroy Kelly , had already insulted the jury 's intelligence by suggesting that prussic acid found in Sara 's body was due to eating too many apples .",by suggesting that prussic acid found in Sara 's body was due to eating too many apples,event
` I would n't insult you by thinking I could learn enough in a couple of days .,I,agent
` I would n't insult you by thinking I could learn enough in a couple of days .,you,experiencer
` I would n't insult you by thinking I could learn enough in a couple of days .,by thinking I could learn enough in a couple of days,event
In charge of the bar a man of scarlet face and furious character roared and insulted in an orgy of camp bonhomie .,in an orgy of camp bonhomie,depictive
In charge of the bar a man of scarlet face and furious character roared and insulted in an orgy of camp bonhomie .,a man of scarlet face and furious character,agent
It was the first time in her life that she had been openly insulted .,she,experiencer
It was the first time in her life that she had been openly insulted .,openly,manner
Was he insulted ?,he,experiencer
"Now shut up and stop insulting my staff . """,my staff,experiencer
“ Do n't insult my intelligence ! ”,my intelligence,experiencer
But will he be insulted ?,he,experiencer
It seems to consist of an affront to the dignity of the House or a Member of it .,to the dignity of the House or a Member of it,experiencer
His disgruntled voice made it seem as though the precautions of the drug smugglers formed a personal affront to his patriotism .,the precautions of the drug smugglers,event
His disgruntled voice made it seem as though the precautions of the drug smugglers formed a personal affront to his patriotism .,personal,type
His disgruntled voice made it seem as though the precautions of the drug smugglers formed a personal affront to his patriotism .,to his patriotism,experiencer
"Rather did he wallow in a mood of self-pity , taking his son 's desertion as a personal affront .",his son 's desertion,event
"Rather did he wallow in a mood of self-pity , taking his son 's desertion as a personal affront .",personal,type
"Equally , at the other extreme , we reject the belief that any notion of correct or incorrect use of language is an affront to personal liberty .",to personal liberty,experiencer
"Equally , at the other extreme , we reject the belief that any notion of correct or incorrect use of language is an affront to personal liberty .",any notion of correct or incorrect use of language,event
"The fatwa was and remains an affront to civilised values , for which Iran should be held accountable for as long as the command stands unrescinded .",The fatwa,event
"The fatwa was and remains an affront to civilised values , for which Iran should be held accountable for as long as the command stands unrescinded .",to civilised values,experiencer
"Although he was opposed to war and sometimes his pacifist fervour offended strangers during the war years , nevertheless to be rejected as a weakling was an affront to a proud and physically courageous man like Modigliani .",to be rejected as a weakling,event
"Although he was opposed to war and sometimes his pacifist fervour offended strangers during the war years , nevertheless to be rejected as a weakling was an affront to a proud and physically courageous man like Modigliani .",to a proud and physically courageous man like Modigliani,experiencer
For his own daughter to lay claim to such a position was an intolerable affront .,For his own daughter to lay claim to such a position,event
For his own daughter to lay claim to such a position was an intolerable affront .,intolerable,type
To start the dancing without the queen was an affront which her Spanish temperament would resent .,To start the dancing without the queen,event
Bill_Frist : Not with the previous Democratic leader or or the current Democratic leader have ever I been slapped in the face with such an affront to the leadership of this grand institution .,to the leadership of this grand institution,experiencer
"Then , after that humiliation , he had added insult to injury by saying she 'd be perfectly safe with him !",he,agent
"Then , after that humiliation , he had added insult to injury by saying she 'd be perfectly safe with him !",to injury,experiencer
"Then , after that humiliation , he had added insult to injury by saying she 'd be perfectly safe with him !",by saying she 'd be perfectly safe with him,means
"You add insult to my injury and I will have no more of it . """,You,agent
"You add insult to my injury and I will have no more of it . """,to my injury,experiencer
"Her foul-mouthed old mother was also to be seen at the school ` meetings "" , shouting about the bottoms , while children hurled abuse and insult and accusations at one another .",children,agent
"Her foul-mouthed old mother was also to be seen at the school ` meetings "" , shouting about the bottoms , while children hurled abuse and insult and accusations at one another .",at one another,experiencer
And I ca n't watch football any more because of the way white fans shout racist insults at the black players .,white fans,agent
And I ca n't watch football any more because of the way white fans shout racist insults at the black players .,at the black players,experiencer
He exchanged insults with the dog in the wine barrel and got a kick in the ribs from his master .,He,agent
He exchanged insults with the dog in the wine barrel and got a kick in the ribs from his master .,with the dog in the wine barrel,experiencer
"This was all unsuccessful , so he tried personal insults .",he,agent
"This was all unsuccessful , so he tried personal insults .",personal,type
"He saw it as a deliberate insult to the Church , a kind of Satanic Cross on the hill .",deliberate,type
"He saw it as a deliberate insult to the Church , a kind of Satanic Cross on the hill .",to the Church,experiencer
"Cuban President Fidel Castro in his opening speech denounced the continuing US embargo against Cuba as "" genocide and an insult to humanity "" .",the continuing US embargo against Cuba,event
"Cuban President Fidel Castro in his opening speech denounced the continuing US embargo against Cuba as "" genocide and an insult to humanity "" .",to humanity,experiencer
"The first of these statements was such an insult to my intelligence that I wanted to punch Mr Kinnock on the nose , and the second so downright outrageous that I wanted to do something worse .",The first of these statements,event
"The first of these statements was such an insult to my intelligence that I wanted to punch Mr Kinnock on the nose , and the second so downright outrageous that I wanted to do something worse .",to my intelligence,experiencer
To remove his statue in such a disrespectful manner was an insult not only to Mao Zedong but also the Communist Party .,To remove his statue in such a disrespectful manner,event
To remove his statue in such a disrespectful manner was an insult not only to Mao Zedong but also the Communist Party .,not only to Mao Zedong but also the Communist Party,experiencer
"She , for her part , was of the opinion that she did not object to Ivan 's insults at all .",Ivan 's,agent
The battling couple have frequently traded insults in books and through magazine interviews .,The battling couple,agent
The battling couple have frequently traded insults in books and through magazine interviews .,frequently,frequency
The battling couple have frequently traded insults in books and through magazine interviews .,in books and through magazine interviews,medium
To make such a parallel was an insult to these young people who considered themselves more sophisticated than the Red Guard generation .,To make such a parallel,event
To make such a parallel was an insult to these young people who considered themselves more sophisticated than the Red Guard generation .,to these young people who considered themselves more sophisticated than the Red Guard generation,experiencer
"Jake had been hurling these same insults at her now for years , and by now she ought to be totally immune to them .",Jake,agent
"Jake had been hurling these same insults at her now for years , and by now she ought to be totally immune to them .",at her,experiencer
"Jake had been hurling these same insults at her now for years , and by now she ought to be totally immune to them .",for years,period_of_iterations
"Your powers , if I may say so without offence , seem superior to your opportunities . """,I,agent
Businessmen fretted that no good could come of such defiance ; students delighted in the courage of their mainland counterparts . ,Businessmen,experiencer
Businessmen fretted that no good could come of such defiance ; students delighted in the courage of their mainland counterparts . ,that no good could come of such defiance,topic
"When agronomists held courses for peasants , they fretted that on average only 150 turned up , as compared with attendances of 4000 at a single conference in Smolensk guberniia . ",they,experiencer
"When agronomists held courses for peasants , they fretted that on average only 150 turned up , as compared with attendances of 4000 at a single conference in Smolensk guberniia . ",that on average only 150 turned up,topic
AMERICANS are fretting again that their economic recovery is frail . ,AMERICANS,experiencer
AMERICANS are fretting again that their economic recovery is frail . ,that their economic recovery,topic
Worried parents fretted that their children would be exposed to X-rated happenings . ,Worried parents,experiencer
Worried parents fretted that their children would be exposed to X-rated happenings . ,that their children would be exposed to X-rated happenings,topic
"I have fretted dutifully over rival buggy-designs at Mothercare , I 've read my Michel Odent and I have mopped a sweating brow through two epic labours . ",I,experiencer
"I have fretted dutifully over rival buggy-designs at Mothercare , I 've read my Michel Odent and I have mopped a sweating brow through two epic labours . ",over rival buggy-designs at Mothercare,topic
"Richard 's fretting about dinner . "" ",Richard,experiencer
"Richard 's fretting about dinner . "" ",about dinner,topic
Few in the finance ministry will fret about this . ,Few in the finance ministry,experiencer
Few in the finance ministry will fret about this . ,about this,topic
"Do n't fret about Jonathon , Melanie . ",about Jonathon,topic
"He stopped fretting about his life and about the future , about what was good or bad in it . ",He,experiencer
"He stopped fretting about his life and about the future , about what was good or bad in it . ","about his life and about the future , about what was good or bad in it",topic
It ca n't help that he is fretting about possessions when he should be worrying about the state of his marriage . ,he,experiencer
It ca n't help that he is fretting about possessions when he should be worrying about the state of his marriage . ,about possessions,topic
There was so much to achieve and I fretted endlessly about the work that was needed to co-ordinate it all . ,I,experiencer
There was so much to achieve and I fretted endlessly about the work that was needed to co-ordinate it all . ,endlessly,manner
There was so much to achieve and I fretted endlessly about the work that was needed to co-ordinate it all . ,about the work that was needed to co-ordinate it all,topic
"The Emperor 's veterans , fretting against the injustices of Bourbon France , had welcomed Napoleon 's return and flocked to the Eagles . ",The Emperor 's veterans,experiencer
"The Emperor 's veterans , fretting against the injustices of Bourbon France , had welcomed Napoleon 's return and flocked to the Eagles . ",against the injustices of Bourbon France,topic
"Understandably , she fretted at this circumscribed lifestyle , but another episode of somewhat more serious bleeding two weeks ago had convinced everyone that the programme of rest and professional care was not an overcautious one . ",she,experiencer
"Understandably , she fretted at this circumscribed lifestyle , but another episode of somewhat more serious bleeding two weeks ago had convinced everyone that the programme of rest and professional care was not an overcautious one . ",at this circumscribed lifestyle,topic
"Still , it 's natural for the novelist sometimes to fret at the obliquities of fiction . ",the novelist,experiencer
"Still , it 's natural for the novelist sometimes to fret at the obliquities of fiction . ",at the obliquities of fiction,topic
Manning Jackson had been fretting for several minutes . ,Manning Jackson,experiencer
"Adam wondered if Abigail sometimes woke up and looked for him in the dark , in the empty room , and fretted for a while before she began to cry . ",Abigail,experiencer
"She 's fretting over Garry 's absence , and according to her doctor it 's important that he gets in touch with her without delay . "" ",She,experiencer
"She 's fretting over Garry 's absence , and according to her doctor it 's important that he gets in touch with her without delay . "" ",over Garry 's absence,topic
"I thought you 'd only fret over it . "" ",you,experiencer
"I thought you 'd only fret over it . "" ",over it,topic
The other directors can only fret quietly in their seats . ,The other directors,experiencer
"Last , but not least , workers have fretted about being displaced by machines ever since the invention of the printing press . ",workers,experiencer
"Last , but not least , workers have fretted about being displaced by machines ever since the invention of the printing press . ",about being displaced by machines ever since the invention of the printing press,topic
"Waking or sleeping his mind fretted away at the case , images drifted in and out of his consciousness , words and phrases came to mind in a confusing jumble but once , in a doze , it seemed that Beryl was actually speaking to him in her clear , cracked voice . ",his mind,experiencer
"Waking or sleeping his mind fretted away at the case , images drifted in and out of his consciousness , words and phrases came to mind in a confusing jumble but once , in a doze , it seemed that Beryl was actually speaking to him in her clear , cracked voice . ",at the case,topic
Companies outside COSE 's inner circle also fret about how it 's selecting technologies . ,Companies outside COSE 's inner circle,experiencer
Companies outside COSE 's inner circle also fret about how it 's selecting technologies . ,about how it 's selecting technologies,topic
Nato may fret over the soul of West Germany . ,Nato,experiencer
Nato may fret over the soul of West Germany . ,over the soul of West Germany,topic
"The British colony , already fretting over whether China will give its nod to an expensive new airport in the territory , can ill afford the economic blow of a change in China 's status . ",The British colony,experiencer
"The British colony , already fretting over whether China will give its nod to an expensive new airport in the territory , can ill afford the economic blow of a change in China 's status . ",over whether China will give its nod to an expensive new airport in the territory,topic
Now Lamb must spend the weekend fretting over whether the TCCB will ban him from next Saturday 's NatWest Trophy final . ,Lamb,experiencer
Now Lamb must spend the weekend fretting over whether the TCCB will ban him from next Saturday 's NatWest Trophy final . ,over whether the TCCB will ban him from next Saturday 's NatWest Trophy final,topic
"Blanche had been doomed to fight for her promotion , watch her weight , and fret over her childlessness . ",Blanche,experiencer
"Blanche had been doomed to fight for her promotion , watch her weight , and fret over her childlessness . ",over her childlessness,topic
"At the end of February Jimmy Nicholl had fretted over how the Raith players would cope with ` the mad month "" which lay ahead . ",Jimmy Nicholl,experiencer
"At the end of February Jimmy Nicholl had fretted over how the Raith players would cope with ` the mad month "" which lay ahead . ","over how the Raith players would cope with ` the mad month "" which lay ahead",topic
"` Girl , never doubt but he 'll come back to you whole and hungry , as he always used to from the butts or the wrestling when you were fretting over his lateness . "" ",you,experiencer
"` Girl , never doubt but he 'll come back to you whole and hungry , as he always used to from the butts or the wrestling when you were fretting over his lateness . "" ",over his lateness,topic
She almost laughed when she reflected that here was she fretting about whether Time would give him back to her or not . ,she,experiencer
She almost laughed when she reflected that here was she fretting about whether Time would give him back to her or not . ,about whether Time would give him back to her or not,topic
"` You fret too much , "" said Ymor , without taking his eyes from the two men opposite him . ",You,experiencer
"` You fret too much , "" said Ymor , without taking his eyes from the two men opposite him . ",too much,degree
"` We do n't put him next to other horses , but he can see them clearly , only a field away , and he does n't fret or bother at all . ",he,experiencer
"` We do n't put him next to other horses , but he can see them clearly , only a field away , and he does n't fret or bother at all . ",at all,degree
"His horse fretted , its haunches nudging its neighbours , and flayed the air with a hoof . ",His horse,experiencer
"So long as an account 's written down somewhere , no one 's going to fuss about the details . ",no one,experiencer
"So long as an account 's written down somewhere , no one 's going to fuss about the details . ",about the details,topic
"Around the time you were fussing about your dress ! "" ",you,experiencer
"Around the time you were fussing about your dress ! "" ",about your dress,topic
"Paula 's always fussing about her figure so she does n't go to Mr Roberts ' sweet shop , she buys tapes and magazines from the newsagent 's on the corner . ",Paula,experiencer
"Paula 's always fussing about her figure so she does n't go to Mr Roberts ' sweet shop , she buys tapes and magazines from the newsagent 's on the corner . ",about her figure,topic
Emily fussed over her . ,Emily,experiencer
Emily fussed over her . ,over her,topic
"They liked him , they fussed over him . ",they,experiencer
"They liked him , they fussed over him . ",over him,topic
"His son has gone off to London , and he worries that he may lose touch with him . ",he,experiencer
"His son has gone off to London , and he worries that he may lose touch with him . ",that he may lose touch with him,topic
It tells electorates that there can be continual growth and no one need worry that the cost of environmental security will hit spending power or reduce standards of living . ,no one,experiencer
It tells electorates that there can be continual growth and no one need worry that the cost of environmental security will hit spending power or reduce standards of living . ,that the cost of environmental security will hit spending power or reduce standards of living,topic
He spent two sleepless nights worrying that he might end up on a murder charge . ,He,experiencer
He spent two sleepless nights worrying that he might end up on a murder charge . ,that he might end up on a murder charge,topic
"Unlike other insecticides , lindane has a high skin-absorption rate and experts worry that repeated treatments could lead to a build-up of this chemical in the body , with possible toxic side effects like convulsions . ",experts,experiencer
"Unlike other insecticides , lindane has a high skin-absorption rate and experts worry that repeated treatments could lead to a build-up of this chemical in the body , with possible toxic side effects like convulsions . ",that repeated treatments could lead to a build-up of this chemical in the body,topic
I have friends who worry that I do n't eat well and regularly enough but I suppose it is all a continuation of the habits formed when I was a one-woman farmer . ,who,experiencer
I have friends who worry that I do n't eat well and regularly enough but I suppose it is all a continuation of the habits formed when I was a one-woman farmer . ,that I do n't eat well and regularly enough,topic
Many of us who are parents -- especially those of us who are single parents or working mothers -- worry we are not perfect . ,Many of us who are parents,experiencer
Many of us who are parents -- especially those of us who are single parents or working mothers -- worry we are not perfect . ,we are not perfect,topic
All the time Maureen was away she was worrying herself sick about Biggles . ,herself,experiencer
All the time Maureen was away she was worrying herself sick about Biggles . ,sick,result
All the time Maureen was away she was worrying herself sick about Biggles . ,about Biggles,topic
"This kind of problem has worried some people interested in animals that gain protection from predators by "" mimicry "" . ",This kind of problem,topic
"This kind of problem has worried some people interested in animals that gain protection from predators by "" mimicry "" . ","some people interested in animals that gain protection from predators by "" mimicry """,experiencer
"They might be worrying themselves sick , thinking she 'd had an accident . ",themselves,experiencer
"They might be worrying themselves sick , thinking she 'd had an accident . ",sick,result
"Daniel patted his wife again and tried to reassure her , although he was worried himself about Billy 's wellbeing . ",himself,experiencer
"Daniel patted his wife again and tried to reassure her , although he was worried himself about Billy 's wellbeing . ",about Billy 's wellbeing,topic
"` Of course I still have a wife , but there 's no need for you to worry your pretty little head about it . ",your pretty little head,experiencer
"` Of course I still have a wife , but there 's no need for you to worry your pretty little head about it . ",about it,topic
"I do n't think we need worry ourselves about little Miss Harker . "" ",ourselves,experiencer
"I do n't think we need worry ourselves about little Miss Harker . "" ",about little Miss Harker,topic
"He worries a great deal about the house . "" ",He,experiencer
"He worries a great deal about the house . "" ",a great deal,degree
"He worries a great deal about the house . "" ",about the house,topic
"Of course , just as sociologists and poets worry a lot about their actual influence , journalists may often see themselves as hacks and hackettes . ",sociologists and poets,experiencer
"Of course , just as sociologists and poets worry a lot about their actual influence , journalists may often see themselves as hacks and hackettes . ",a lot,degree
"Of course , just as sociologists and poets worry a lot about their actual influence , journalists may often see themselves as hacks and hackettes . ",about their actual influence,topic
We worry about sectarian exclusiveness without realising that we have become used to living under siege . ,We,experiencer
We worry about sectarian exclusiveness without realising that we have become used to living under siege . ,about sectarian exclusiveness,topic
Mr Roh and his alliance of squabbling factions are worried by stories in the newspapers hinting that officials in the government 's security organisations are jockeying for power . ,Mr Roh and his alliance of squabbling factions,experiencer
